,show_id,type,title,director,country/region,date_added,release_year,rating,duration1,duration,listed_in1,listed_in,description
1145,80214115,TV Show,Argon,,South Korea,2017,2017,TV-MA,1 Season,1,"International TV Shows, Korean TV Shows, TV Dramas",International TV Shows,"In a world filled with provocative (and often misleading) news, a passionate team of investigative TV reporters strives to bring truths to light."
1147,80097141,TV Show,Godless,,United States,2017,2017,TV-MA,1 Season,1,TV Dramas,TV Dramas,"A ruthless outlaw terrorizes the West in search of a former member of his gang, who__ found a new life in a quiet town populated only by women."
1152,80241539,TV Show,Mortel,,France,2019,2019,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows,"After making a deal with a supernatural figure, two high schoolers emerge with extraordinary powers and join forces to solve a murder."
1155,80993625,TV Show,Oh My Ghost,,Thailand,2018,2018,TV-MA,1 Season,1,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows,"When a skilled but timid chef is possessed by a sassy spirit, her newfound confidence catches the eye of her longtime crush, a culinary hotshot."
1163,81152643,TV Show,Bangkok Buddies,,,2019,2019,TV-14,1 Season,1,"International TV Shows, TV Comedies, TV Dramas",International TV Shows,"Living under the same roof, a group of unabashed friends wrestle with everyday issues from financial woes and shared quarters to romantic misfires."
1174,81011957,TV Show,Holiday Secrets,,Germany,2019,2019,TV-MA,1 Season,1,"International TV Shows, TV Dramas",International TV Shows,A Christmas reunion becomes a gateway to the past in this three-part series that explores the intimate complexities of one family's history.
1192,80222157,TV Show,Who Killed Little Gregory?,,France,2019,2019,TV-MA,1 Season,1,"Crime TV Shows, Docuseries, International TV Shows",Crime TV Shows,"When their 4-year-old son is murdered, a young couple fights a twisting and arduous battle trying to identify a frustratingly elusive killer."
1197,80180600,TV Show,Kulipari: Dream Walker,,,2018,2018,TV-Y7-FV,1 Season,1,Kids' TV,Kids' TV,"Now the Blue Sky King, Darel must lead a rescue mission to save a Dream Walker _ leaving the village under the protection of the Kulipari youth."
1198,81039045,TV Show,Paap-O-Meter,,,2018,2017,TV-Y7,1 Season,1,"Kids' TV, TV Comedies",Kids' TV,"A trio of sky-dwelling ghosts must travel to Earth to teach sinning humans a lesson, but they somehow manage to botch each well-intentioned mission."
1202,80201866,TV Show,The Final Table,,United States,2018,2018,TV-PG,1 Season,1,Reality TV,Reality TV,Teams of elite chefs vie to impress the world's toughest palates as they whip up iconic dishes from nine nations in this star-packed competition.
1206,80045925,TV Show,Bella and the Bulldogs,,United States,2019,2015,TV-G,1 Season,1,"Kids' TV, TV Comedies",Kids' TV,"The life of cheerleader Bella Dawson turns upside down when, in a twist of fate, she becomes quarterback for her middle school's football team."
1218,80215086,TV Show,Brainchild,,,2018,2018,TV-Y7,1 Season,1,Kids' TV,Kids' TV,"From germs and emotions to social media and more, it's the science of your world explained in a way that's refreshingly relatable."
1221,80241877,TV Show,The Judgement,,Thailand,2018,2018,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows,"After a traumatic incident at a party makes her a target of gossip and derision, a young college student tries to change her school's toxic culture."
1227,81152642,TV Show,Miss Culinary,,,2019,2019,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows,"After ditching her domestic life to become a chef, a clueless maid crosses paths with two charming suitors who help her reach her dreams."
1228,81105522,TV Show,No Time for Shame,,Argentina,2019,2019,TV-MA,1 Season,1,"International TV Shows, Reality TV, Spanish-Language TV Shows",International TV Shows,"Follow Santiago Artemis, a Buenos Aires fashion dynamo, as he makes his dreams come true while grappling with his love life, therapist and clients."
1234,80120640,TV Show,La Ni_±a,,Colombia,2016,2016,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Crime TV Shows,A former Colombian guerrilla fighter faces challenges as she reintegrates into society and tries to overcome her traumatic memories.
1238,81191473,TV Show,Candy Online,,Taiwan,2019,2019,TV-MA,1 Season,1,"International TV Shows, TV Dramas, Teen TV Shows",International TV Shows,"When a wardrobe malfunction goes viral, a bubbly live streamer struggles to navigate her classmates' cruel judgment and the small town she lives in."
1239,81019520,TV Show,Eternal Love,,China,2018,2017,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Dramas",International TV Shows,"After the deities Bai Qian and Ye Hua meet and fall in love, their romance stands the test of three lifetimes _ each an epic in its own right."
1240,80160504,TV Show,La Do_±a,,"United States, Mexico",2018,2016,TV-14,1 Season,1,"Spanish-Language TV Shows, TV Dramas",Spanish-Language TV Shows,"Worlds collide and lives shatter when Altagracia, a powerful and elegant businesswoman, plots a ruthless revenge while falling in love."
1241,80158168,TV Show,Silvana Sin Lana,,United States,2018,2016,TV-14,1 Season,1,"Romantic TV Shows, Spanish-Language TV Shows, TV Comedies",Romantic TV Shows,"When her fugitive husband leaves her homeless and penniless, a once-wealthy woman has no other choice but to join the working class."
1247,80171561,TV Show,Shot in the Dark,,United States,2017,2017,TV-MA,1 Season,1,Reality TV,Reality TV,"Three rival freelance stringers scour the streets at night to film crime scenes, fires, accidents _ and anything else they can sell to news outlets."
1248,80123729,TV Show,Paranoid,,United Kingdom,2016,2016,TV-14,1 Season,1,"British TV Shows, Crime TV Shows, International TV Shows",British TV Shows,"When a woman is brutally murdered on a playground, a group of detectives find themselves drawn into a dark conspiracy as they search for the killer."
1255,80191036,TV Show,Dogs,,United States,2018,2018,TV-PG,1 Season,1,Docuseries,Docuseries,"These six intimate stories explore the abiding emotional bonds that form between dogs and their caregivers, no matter the circumstances."
1257,80997085,TV Show,Narcos: Mexico,,"Mexico, United States",2018,2018,TV-MA,1 Season,1,"Crime TV Shows, TV Action & Adventure, TV Dramas",Crime TV Shows,"Witness the birth of the Mexican drug war in the 1980s as a gritty new ""Narcos"" saga chronicles the true story of the Guadalajara cartel's ascent."
1261,80216621,TV Show,Vai Anitta,,Brazil,2018,2018,TV-MA,1 Season,1,"Docuseries, International TV Shows, Reality TV",Docuseries,"Go behind the scenes with Brazilian pop icon Anitta, along with her friends and family, as she aims to create a new song and music video each month."
1263,81179844,TV Show,At the Dolphin Bay,,Taiwan,2019,2003,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows",International TV Shows,"Encountering each other after a long separation, two childhood friends from orphanage must overcome great odds to fulfill an old promise and find love."
1269,80217594,TV Show,I'm with the Band: Nasty Cherry,,United States,2019,2019,TV-MA,1 Season,1,Reality TV,Reality TV,"In an unfiltered, intimate docuseries, pop star mentor Charli XCX finds out what it takes to build _ and break _ a real, badass all-girl punk band."
1270,81033650,TV Show,Inheritors,,South Korea,2019,2013,TV-14,1 Season,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",International TV Shows,"After a chance encounter in LA, two teens from different social backgrounds reunite at an exclusive high school attended by Korea__ _¼ber rich."
1273,81179882,TV Show,La Robe De Mariee Des Cieux,,Taiwan,2019,2004,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows",International TV Shows,"After a chance encounter that ends on bad terms, two clashing strangers soon cross paths again as their fates become inevitably intertwined."
1275,81179821,TV Show,My MVP Valentine,,Taiwan,2019,2002,TV-PG,1 Season,1,"International TV Shows, Romantic TV Shows, TV Dramas",International TV Shows,"An unfortunate accident alters the life of a high school basketball prodigy, who abandons his beloved sport and becomes entangled in a love triangle."
1276,81033645,TV Show,My Sassy Girl,,South Korea,2019,2017,TV-14,1 Season,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",International TV Shows,A refined young Joseon scholar's life turns upside down after he rescues a drunk princess who later accuses him of taking something precious from her.
1279,80238391,TV Show,The Club,,Mexico,2019,2019,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Crime TV Shows,"A band of misfit rich kids in Mexico strike out on their own selling MDMA and quickly run into trouble with other narcos, the law and their families."
1281,80242491,TV Show,The Stranded,,Thailand,2019,2019,TV-MA,1 Season,1,"International TV Shows, TV Action & Adventure, TV Dramas",International TV Shows,"Trapped on an island destroyed by a tsunami, the students of an elite school try to hold on to hope. But mysterious forces seem to work against them."
1282,81179864,TV Show,Westside Story,,,2019,2003,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Action & Adventure",International TV Shows,"Spirited high school misfits with hearts of gold begin their journeys into adulthood as they navigate school, friendship, romance and heartbreak."
1284,81018295,TV Show,Beyblade Burst Evolution,,,2018,2017,TV-Y7,1 Season,1,"Anime Series, Kids' TV",Anime Series,"Scouted by a famous Spanish club, Valt Aoi heads to Spain. With their sights on the World League, he and his teammates face the European League first."
1300,80202454,TV Show,Chuck Chicken,,Malaysia,2017,2017,TV-Y7,1 Season,1,Kids' TV,Kids' TV,"On the island of Rocky Perch, security company owner Chuck Adoodledoo and his friends provide kung fu-style protection for their fellow bird citizens."
1302,80009361,TV Show,The Irregular at Magic High School,,Japan,2017,2014,NR,1 Season,1,"Anime Series, International TV Shows, Teen TV Shows",Anime Series,"Siblings Tatsuya and Miyuki enroll at Magic High School, where Miyuki's honors status comes between her and her underachieving older brother."
1303,80166471,TV Show,The Method,,Russia,2017,2015,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows,An ambitious young law enforcement graduate is thrilled when her idol takes her on as a trainee. But his methods aren't anything like she imagined.
1304,80119125,TV Show,Brown Nation,,United States,2016,2016,TV-14,1 Season,1,TV Comedies,TV Comedies,An Indian American man living with his artistic wife and contentious father-in-law struggles to handle his household and a foundering IT company.
1307,80127995,TV Show,Oliver Stone's Untold History of the United States,Oliver Stone,United States,2016,2013,TV-PG,1 Season,1,Docuseries,Docuseries,"This documentary series offers an alternative take on modern American history, focusing on underreported events that shaped the nation's character."
1310,81163776,TV Show,My Dear Warrior,,Thailand,2019,2019,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows,"Love leaps off the page when an astronomer magically meets her comic book hero in the flesh, but learns that his fictional problems are very real."
1315,81034946,TV Show,Maradona in Mexico,,"Argentina, United States, Mexico",2019,2020,TV-MA,1 Season,1,"Docuseries, Spanish-Language TV Shows",Docuseries,"In this docuseries, soccer great Diego Maradona comes to Culiac_¡n, the heart of the Sinaloa Cartel, to save the local team, the Dorados, and maybe himself, too."
1318,80193978,TV Show,Warrior,,Denmark,2018,2018,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows,A war veteran plagued by guilt over his final mission teams up with his best friend's widow to infiltrate a dangerous Copenhagen biker gang.
1321,80049065,TV Show,W/ Bob & David,,United States,2015,2015,TV-MA,1 Season,1,TV Comedies,TV Comedies,"After being dishonorably discharged from the Navy Seals, Bob and David are back serving our country the way they do best _ making sketch comedy."
1326,81200229,TV Show,Put Your Head on My Shoulder,,China,2019,2019,TV-PG,1 Season,1,"International TV Shows, Romantic TV Shows, Teen TV Shows",International TV Shows,"On the cusp of graduation, an accounting major searching for her career winds up living with a genius physics student who shakes up her daily routine."
1330,80107990,TV Show,The Beginning of Life: The Series,Estela Renner,Brazil,2016,2016,TV-PG,1 Season,1,"Docuseries, International TV Shows, Science & Nature TV",Docuseries,"Using breakthroughs in technology and neuroscience, this series examines how environment affects infants _ and how infants can affect our future."
1332,80208213,TV Show,Age of Tanks,,"Germany, France, Russia",2018,2017,TV-PG,1 Season,1,"Docuseries, International TV Shows, Science & Nature TV",Docuseries,The history of military tanks unfolds in a documentary series that traces their role in history and geopolitics from World War I to the 21st century.
1333,70286533,TV Show,Helix,,"United States, Canada",2018,2015,TV-MA,1 Season,1,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",TV Horror,"While investigating a possible outbreak at an Arctic research facility, scientists discover a new virus that could wipe out every human on the planet."
1336,80175822,TV Show,Blazing Transfer Students,,Japan,2017,2017,TV-MA,1 Season,1,"International TV Shows, TV Action & Adventure, TV Comedies",International TV Shows,"Featuring the boys of Johnny's West, a gang of zany transfer students are recruited for a mysterious mission ordained by their shadowy principal."
1340,80134093,TV Show,Einsatzgruppen: The Nazi Death Squads,,France,2016,2009,TV-14,1 Season,1,"Docuseries, International TV Shows",Docuseries,"This documentary series examines the Einsatzgruppen, Nazis responsible for the mass murder of Jews, Romani and Soviet prisoners in Eastern Europe."
1342,80234414,TV Show,100% Hotter,,United Kingdom,2019,2017,TV-14,1 Season,1,"British TV Shows, International TV Shows, Reality TV",British TV Shows,"A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders."
1346,81193616,TV Show,A Year In Space,,United States,2019,2015,TV-PG,1 Season,1,"Docuseries, International TV Shows, Science & Nature TV",Docuseries,Two astronauts attempt to brave a life in Earth's orbit on a record-setting mission to see if humans have the endurance to survive a flight to Mars.
1347,81082327,TV Show,Ad Vitam,,France,2019,2018,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows,"In a future where regeneration technology lets humans live indefinitely, a cop and a troubled young woman investigate a strange wave of youth suicides."
1352,81184735,TV Show,Barbie Dreamhouse Adventures: Go Team Roberts,,,2019,2019,TV-Y,1 Season,1,Kids' TV,Kids' TV,"As the Roberts family heads to Costa Rica to investigate a mermaid legend, Barbie takes on a summer job at a water park run by a devious boss."
1375,80241387,TV Show,Hache,,Spain,2019,2019,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Crime TV Shows,"As Helena gains the love and trust of a dangerous heroin cartel leader in 1960s Barcelona, she hones the skills she needs to rise up the ranks."
1377,80227818,TV Show,Hello Ninja,,,2019,2019,TV-Y,1 Season,1,Kids' TV,Kids' TV,"BFFs Wesley and Georgie and their silly cat sidekick Pretzel transform into ninjas and enter a magic world, where they solve problems and save the day."
1392,81104406,TV Show,Maid-Sama!,,Japan,2019,2010,TV-14,1 Season,1,"Anime Series, Romantic TV Shows",Anime Series,"To keep the boys in line, student council president Misaki runs the school with an iron fist _ while secretly working as a waitress at a maid caf_©."
1400,81075744,TV Show,Queer Eye: We're in Japan!,,"United States, Japan",2019,2019,TV-14,1 Season,1,"International TV Shows, Reality TV",International TV Shows,"The Fab Five touch down in Tokyo to spread the joy, explore the culture, and help four Japanese men and women find the confidence to be themselves."
1431,70266992,TV Show,Vientos de agua,,"Argentina, Spain",2019,2006,TV-MA,1 Season,1,"International TV Shows, Spanish-Language TV Shows, TV Dramas",International TV Shows,"Jos_© Olaya, a Spanish miner, emigrates to Argentina in 1934, while his son, an architect, moves to Spain after Argentina's economic collapse in 2001."
1432,80218819,TV Show,We Are the Wave,,,2019,2019,TV-MA,1 Season,1,"International TV Shows, TV Dramas, TV Mysteries",International TV Shows,"A mysterious classmate leads four idealistic teens in a revolt against a rising tide of nationalistic fervor, but their movement takes a dark turn."
1445,81020545,TV Show,Calico Critters,,,2018,2018,TV-Y,1 Season,1,Kids' TV,Kids' TV,The adorable residents of Sylvanian Village always have lots of fun with their friends and families!
1459,80175945,TV Show,Get Shorty,,United States,2018,2017,TV-MA,1 Season,1,"Crime TV Shows, TV Comedies, TV Dramas",Crime TV Shows,Organized crime enforcer Miles Daly strives to reinvent himself as a Hollywood filmmaker in this satire based on Elmore Leonard's best-selling novel.
1461,80241947,TV Show,Girl from Nowhere,,Thailand,2018,2018,TV-MA,1 Season,1,"International TV Shows, TV Dramas, TV Mysteries",International TV Shows,"A mysterious, clever girl named Nanno transfers to different schools, exposing the lies and misdeeds of the students and faculty at every turn."
1486,81014239,TV Show,The Great British Baking Show: The Beginnings,,,2018,2012,TV-PG,1 Season,1,"British TV Shows, Reality TV",British TV Shows,A dozen amateur bakers amiably compete for the coveted title of Britain's best as they whip up tasty treats for judges Mary Berry and Paul Hollywood.
1506,80198850,TV Show,My Life My Story,,,2017,2017,TV-PG,1 Season,1,"International TV Shows, Stand-Up Comedy & Talk Shows",International TV Shows,"Host RJ Anmol conducts in-depth interviews with prominent Indian celebrities, who share the stories that lie behind their successes and failures."
1514,80187302,TV Show,Stranger,,South Korea,2017,2017,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, Korean TV Shows",Crime TV Shows,"With the help of a gutsy female detective, a prosecutor who has lost the ability to feel empathy tackles a murder case amid political corruption."
1516,80157276,TV Show,The Family Court,,,2017,2010,TV-MA,1 Season,1,"International TV Shows, TV Dramas",International TV Shows,Five lawyers from different firms develop a strong bond of friendship that is occasionally tested by their court cases and growing romantic feelings.
1517,80157297,TV Show,The Golden Path,,,2017,2007,TV-14,1 Season,1,"International TV Shows, TV Dramas",International TV Shows,"A single mother of five struggles for decades to forge a successful business empire, only to see her family descend into animosity and betrayal."
1518,80157566,TV Show,The Little Nyonya,,,2017,2009,TV-14,1 Season,1,"International TV Shows, TV Dramas",International TV Shows,"An orphaned Chinese woman in Singapore refuses to yield to her lowly station in life, setting her family on a tumultuous course for generations."
1519,80157488,TV Show,The Truth,,,2017,2008,TV-14,1 Season,1,"Crime TV Shows, International TV Shows, TV Action & Adventure",Crime TV Shows,"A devious businessman covets his partner's priceless treasure map, while a related murder case calls into question some biological family ties."
1520,80157714,TV Show,Together,,Singapore,2017,2009,TV-MA,1 Season,1,"International TV Shows, TV Dramas",International TV Shows,"Spanning 30 years, a group of dedicated and diverse friends experiences happiness and hardship in a newly independent Singapore."
1527,80111881,TV Show,Inborn Pair,,Taiwan,2016,2011,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows,"Betrothed while in utero, a resort group president enters into an arranged marriage with a legal assistant. Despite their bickering, love blooms."
1528,80112186,TV Show,Just You,,Taiwan,2016,2013,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows,"When her uptight new boss and landlord starts a war on office romances, plucky Liang-liang quickly starts looking for ways to get him to lighten up."
1529,80112079,TV Show,Love Around,,Taiwan,2016,2013,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows,"After a chance meeting at a ballpark, the kind son of a former gangster tries to help an outgoing radio DJ get over her recent heartbreak."
1530,80112077,TV Show,Love Family,,Taiwan,2016,2013,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows,A wealthy heir's search for a nameless childhood sweetheart leads him to an inn run by a family with three sisters. But which one is his true love?
1531,80112075,TV Show,Love Me or Leave Me,,Taiwan,2016,2012,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows,"When a marriage-phobic woman hires a seductress to test how faithful her eager-to-wed boyfriend is, her plan takes an unexpected turn."
1532,70303291,TV Show,Love Now,,Taiwan,2016,2012,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows,"When her loved ones cook up a morbid plan to make her take time off from work, Yang Yiru goes on a vacation, truly believing she has terminal cancer."
1553,80180684,TV Show,Away From Home,,,2019,2015,TV-PG,1 Season,1,"International TV Shows, TV Dramas",International TV Shows,A high-achieving 11-year-old student embarks on a journey of self-discovery at a school on a nearby island as he grapples with tensions at home.
1554,80180681,TV Show,Bibik-Bibikku,,,2019,2016,TV-PG,1 Season,1,"International TV Shows, TV Comedies",International TV Shows,"When a busy mother and father realize they need help with their two young children, they hire a series of maids, often with humorous results."
1555,80180710,TV Show,Cinta 100KG,,,2019,2016,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Dramas",International TV Shows,"Two female friends, each with confidence issues, help each other search for true love and deal with their romantic rivals."
1556,80180545,TV Show,Cinta Iris,,,2019,2015,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Dramas",International TV Shows,"Dedicated engineering student Iris succumbs to love and marries, but fate holds both tragedies and triumphs for her personal and professional life."
1557,80163296,TV Show,Cinta Si Wedding Planner,,,2019,2015,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Dramas",International TV Shows,A wedding planner and an ex-Marine both have been unlucky in love. But a chance meeting and a spat over a parking space soon change all that.
1558,80180588,TV Show,Cinta Teruna Kimchi,,,2019,2016,TV-14,1 Season,1,"International TV Shows, TV Dramas",International TV Shows,"When a young man determines to discover his father's true identity, he faces unexpected realizations that shake his sense of self."
1559,80163532,TV Show,Secret of Success,,,2019,2015,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows,An aspiring actor uses a magical book to transport himself inside the movies he had always dreamed of starring in _ but not without consequences.
1560,80180591,TV Show,The Missing Menu,,,2019,2016,TV-PG,1 Season,1,"International TV Shows, TV Dramas",International TV Shows,A single mom and skilled chef yearns for her children to settle down and offers them life lessons through the special dishes she creates.
1561,80163533,TV Show,Unchained Fate,,,2019,2016,TV-14,1 Season,1,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",International TV Shows,"A young trio aims to protect the world from evil, armed with magic crystals that allow them to control time, commune with spirits, and more."
1567,81087762,TV Show,Abyss,,South Korea,2019,2019,TV-14,1 Season,1,"Crime TV Shows, International TV Shows, Korean TV Shows",Crime TV Shows,"After meeting an untimely demise in separate incidents, Cha Min and Go Se-yeon discover they__e come back to life in new bodies they don__ recognize."
1568,81082953,TV Show,I Have a Script,,,2019,2019,TV-14,1 Season,1,"International TV Shows, TV Comedies, TV Dramas",International TV Shows,"After the death of a loved one, a woman decides to pursue her passion for writing by penning television scripts."
1569,81104339,TV Show,In the Bosom of a Thorn,,,2019,2019,TV-14,1 Season,1,"International TV Shows, TV Dramas",International TV Shows,"After the invasion of Kuwait, a woman__ infant daughter is taken from her. Now, her daughter looks to make her way back home years later."
1571,81082781,TV Show,The Writer,,Lebanon,2019,2019,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows,"When accused of a murder eerily parallel to a plot in his novel, a best-selling crime writer must navigate a web of hidden enemies."
1572,81104372,TV Show,What If?,,,2019,2019,TV-14,1 Season,1,"International TV Shows, TV Dramas",International TV Shows,"Four individuals at a crossroads in life are given the chance to take both paths, and decide which road is best for them."
1583,80100933,TV Show,Miss Dynamite,,Mexico,2018,2015,TV-14,1 Season,1,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Crime TV Shows,"Wealthy, beautiful Valentina falls in love, only to realize that her man and her family are involved with one of Mexico's most powerful drug cartels."
1588,80126879,TV Show,What Happens to My Family,,Turkey,2017,2016,TV-14,1 Season,1,"International TV Shows, TV Comedies, TV Dramas",International TV Shows,A na_¯ve young woman goes to Istanbul to meet the now-grown boy who jokingly promised to marry her in 11 years after she saved his life as a child.
1591,80193475,TV Show,A Little Help with Carol Burnett,,United States,2018,2018,TV-G,1 Season,1,"Stand-Up Comedy & Talk Shows, TV Comedies",Stand-Up Comedy & Talk Shows,"Comedy icon Carol Burnett returns to TV with a panel of clever kids, who help adults and celebrity guests solve their problems with brutal honesty."
1600,80047032,TV Show,Pasi_³n de Gavilanes,,"Colombia, United States",2017,2003,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",International TV Shows,"Three brothers seek to avenge the tragic death of a loved one, but become emotionally entangled with the daughters of those they hold responsible."
1604,80218448,TV Show,How to Sell Drugs Online (Fast),,Germany,2019,2019,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, TV Comedies",Crime TV Shows,"To win back his ex-girlfriend, a nerdy teen starts selling ecstasy online out of his bedroom _ and becomes one of Europe's biggest dealers."
1605,80217946,TV Show,Killer Ratings,,,2019,2019,TV-MA,1 Season,1,"Crime TV Shows, Docuseries, International TV Shows",Crime TV Shows,Brazilian TV personality and politician Wallace Souza faces accusations of masterminding the violent crimes he reported on and rallied against.
1614,80200549,TV Show,When They See Us,,United States,2019,2019,TV-MA,1 Season,1,"Crime TV Shows, TV Dramas",Crime TV Shows,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.
1622,80994596,TV Show,Crime Diaries: Night Out,Felipe Cano,Mexico,2019,2019,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Crime TV Shows,"After going to a Halloween party, college student Luis Andr_©s Colmenares is found dead. Was it an accident or murder? Inspired by true events."
1623,80219707,TV Show,Dead to Me,,United States,2019,2019,TV-MA,1 Season,1,"TV Comedies, TV Dramas",TV Comedies,A hotheaded widow searching for the hit-and-run driver who mowed down her husband befriends an eccentric optimist who isn't quite what she seems.
1626,80207066,TV Show,Flinch,,United Kingdom,2019,2019,TV-PG,1 Season,1,Reality TV,Reality TV,"Harrowing and hilarious tests await the brave and foolhardy, as well as the judges, in this comedy game show. If they flinch, they feel the pain."
1630,80198137,TV Show,Tuca & Bertie,,United States,2019,2019,TV-MA,1 Season,1,TV Comedies,TV Comedies,Free-spirited toucan Tuca and self-doubting song thrush Bertie are best friends _ and birds _ who guide each other through life's ups and downs.
1631,80225312,TV Show,Undercover,,"Belgium, Netherlands",2019,2019,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows,Undercover agents infiltrate a drug kingpin's operation by posing as a couple at the campground where he spends his weekends. Inspired by real events.
1639,81013657,TV Show,Charmed,,United States,2019,2019,TV-PG,1 Season,1,"TV Dramas, TV Sci-Fi & Fantasy",TV Dramas,"After their mother__ tragic death, a trio of sisters bond over their newfound powers, vanquish demons and band together to defend their magical legacy."
1640,80994222,TV Show,Historical Roasts,,United States,2019,2019,TV-MA,1 Season,1,"Stand-Up Comedy & Talk Shows, TV Comedies",Stand-Up Comedy & Talk Shows,"""Roastmaster General"" Jeff Ross and a slew of guest stars poke fun at major historical figures while also honoring their enduring impact on the world."
1641,80239459,TV Show,The Break with Michelle Wolf,,United States,2018,2018,TV-MA,1 Season,1,"Stand-Up Comedy & Talk Shows, TV Comedies",Stand-Up Comedy & Talk Shows,Nobody's safe as Michelle Wolf unapologetically takes aim in this weekly topical show that blends sketches with live comedy and in-studio guests.
1643,80993756,TV Show,Kiss The Series,,,2019,2016,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Dramas",International TV Shows,"After a night out, Sandee wakes to discover she and her buddy have either taken their platonic friendship to a whole new level or ruined it forever."
1646,80990935,TV Show,Something in the Rain,,South Korea,2018,2018,TV-MA,1 Season,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",International TV Shows,"Reunited with her best friend__ younger brother, who__ back from a stint abroad, a recently dumped career woman begins to see him in a new light."
1652,80993739,TV Show,Sotus The Series,,Thailand,2019,2016,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Dramas",International TV Shows,"When freshman engineering student Kongpob stands up to older bully Arthit, their confrontation soon leads to a deep attraction between the two boys."
1653,81132060,TV Show,Thackeray,,India,2019,2019,TV-MA,1 Season,1,TV Shows,TV Shows,"From controversial cartoonist to powerful Mumbai politician, this biopic maps the meteoric rise of far-right Shiv Sena party founder, Bal Thackeray."
1660,81029429,TV Show,Hyper HardBoiled Gourmet Report,,,2019,2017,TV-MA,1 Season,1,"Docuseries, International TV Shows",Docuseries,"To live is to eat. For people around the world in precarious and dangerous circumstances, eating itself is dangerous, precarious _ and essential."
1664,80197889,TV Show,WHAT / IF,,United States,2019,2019,TV-MA,1 Season,1,"TV Dramas, TV Thrillers",TV Dramas,"Desperate to secure funding for her med tech startup, an idealistic scientist and her husband strike an outrageous deal with a mysterious investor."
1669,80100106,TV Show,Dramaworld,,"United States, South Korea, China",2016,2016,TV-14,1 Season,1,"Romantic TV Shows, TV Comedies, TV Dramas",Romantic TV Shows,"A huge fan of a Korean TV drama is transported to a magical realm where she has the power to alter her favorite show's story line as a ""Facilitator."""
1672,80213536,TV Show,Mob Psycho 100,,Japan,2018,2018,TV-MA,1 Season,1,"International TV Shows, TV Action & Adventure, TV Comedies",International TV Shows,"There's an organization gathering espers for a nefarious purpose. Powerful psychic Mob, however, is just trying to be the protagonist of his own life."
